item_id,title,artist,album,genre,tags,description
1,From The Start,Laufey,From The Start - Single,jazz pop,"jazzy romantic retro","swoony jazz-pop love song with vintage-inspired strings and crooning vocals"
2,Valentine,Laufey,Everything I Know About Love,jazz pop,"soft ballad cinematic","gentle piano ballad about longing and jealousy with lush orchestration"
3,Bewitched,Laufey,Bewitched,jazz pop,"dreamy waltz romantic","slow-burning waltz that feels like a spellbound late-night confession"
4,Glue Song,Beabadoobee,Glue Song - Single,indie pop,"wholesome soft sweet","lo-fi tinged love song with cozy strings and tender vocals"
5,the perfect pair,Beabadoobee,Beatopia,indie pop,"groovy mellow breakup","groovy mid-tempo track about mismatched love and quiet heartbreak"
6,Care,Beabadoobee,Fake It Flowers,indie rock,"grungy 2000s-angsty","loud fuzzy guitars with a big chorus and early-2000s alt-rock energy"
7,Not,Big Thief,Two Hands,indie rock,"explosive raw live","a cathartic slow-build rocker that erupts into a shouted emotional climax"
8,Simulation Swarm,Big Thief,Dragon New Warm Mountain I Believe in You,indie folk,"poetic surreal intricate","delicate groove with surreal lyrics and fluttery guitar lines"
9,Masterpiece,Big Thief,Masterpiece,indie rock,"nostalgic roadtrip","driving indie track that feels like a dusty road movie about memory"
10,Bags,Clairo,Immunity,indie rock,"introspective slow-burn","muted guitars and hazy vocals about the fear of confessing feelings"
11,Sofia,Clairo,Immunity,indie rock,"anthemic queer-crush","swaying indie anthem with crunchy guitars and a huge singalong hook"
12,Pretty Girl,Clairo,diary 001,bedroom pop,"lo-fi diy nostalgic","lo-fi bedroom recording about shrinking yourself to be liked"
13,Nobody,Mitski,Be the Cowboy,indie rock,"disco-sad existential","lonely disco-inspired song that spirals into a desperate mantra"
14,Washing Machine Heart,Mitski,Be the Cowboy,indie rock,"percussion-heavy toxic","clattering drums and sharp lyrics about being taken for granted"
15,Your Best American Girl,Mitski,Puberty 2,indie rock,"distorted cathartic","slow-lilting verse exploding into towering walls of guitar"
16,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,indie folk,"breakup alt-country","bright strummed guitars masking painfully direct breakup lyrics"
17,Funeral,Phoebe Bridgers,Stranger in the Alps,indie folk,"sparse melancholy","quiet narrative about grief and depression over gentle fingerpicking"
18,Scott Street,Phoebe Bridgers,Stranger in the Alps,indie folk,"orchestral slow-build","slow blossoming arrangement about old love and growing apart"
19,Bite the Hand,boygenius,boygenius EP,indie rock,"harmony-driven tense","layered harmonies over tense guitars about self-sabotage and boundaries"
20,Me & My Dog,boygenius,boygenius EP,indie rock,"heartwrenching soaring","emotional climax where all three voices crash together on one huge line"
21,Salt in the Wound,boygenius,boygenius EP,indie rock,"slowburn heavy","agonizing slow-build ending in an explosive guitar outro"
22,Lovers Rock,TV Girl,French Exit,indie pop,"sample-heavy nostalgic","retro-sampled beat with deadpan vocals about doomed summer romance"
23,Cigarettes out the Window,TV Girl,French Exit,indie pop,"lo-fi woozy","woozy keys and collage-like production about a messy relationship"
24,Not Allowed,TV Girl,French Exit,indie pop,"playful bitter","catchy hook hiding a petty, theatrical breakup monologue"
25,Kingston,Faye Webster,Atlanta Millionaires Club,indie folk,"slide-guitar twangy","slow twangy tune about a crush far away and emotional distance"
26,Right Side of My Neck,Faye Webster,Atlanta Millionaires Club,indie folk,"intimate understated","quietly confessional track with pedal steel and sleepy drums"
27,In A Good Way,Faye Webster,I Know I'm Funny haha,indie soul,"warm romantic mellow","soulful groove about being pleasantly surprised by how love feels"
28,Cariño,The Marías,Superclean Vol. II,dream pop,"bilingual sultry","soft Spanish-English vocals over hazy, velvety instrumentation"
29,Hush,The Marías,CINEMA,dream pop,"dark cinematic","moody bass and whispered vocals that feel like a neon-lit dream"
30,ABQ,The Marías,Superclean Vol. II,dream pop,"roadtrip hazy","slow driving song that feels like late-night headlights on the highway"
